CATEGORY,SHOW_TITLE,VIEWS_FIRST3WEEKS,HOURS_FIRST3WEEKS,BEST_RANK,VIEWS_WEEKS4TO13
films (non-english),el infierno,0,11960000,5,0
films (non-english),grudge,0,10240000,3,0
films (non-english),incantation,0,19840000,3,0
films (non-english),kingdom ashin of the north,0,34950000,2,0
films (non-english),mimi,0,17980000,4,0
films (non-english),mothers day,0,34510000,1,1000000
films (non-english),noise,0,19300000,1,0
films (non-english),out of my league,0,15180000,2,0
films (non-english),rrr hindi,0,39480000,1,0
films (non-english),shehzada,0,18960000,3,0
films (non-english),the claus family,0,13620000,2,0
films (non-english),the pirates the last royal treasure,0,34330000,2,0
films (non-english),the secret diary of an exchange student,0,15100000,2,0
films (non-english),xtreme,0,5390000,8,2400000
tv (english),beef,0,147270000,2,0
tv (english),big mouth,0,56370000,5,4300000
tv (english),dead to me,0,75570000,4,0
tv (english),dynasty,0,99840000,4,0
tv (english),inventing anna,0,404080000,1,0
tv (english),kaleidoscope,0,181880000,2,0
tv (english),never have i ever,0,125970000,1,13800000
tv (english),perfect match,0,106820000,2,0
tv (english),sexlife,0,201590000,1,0
tv (english),sweet tooth,0,82790000,2,0
tv (english),the night agent,0,515580000,1,0
tv (english),the witcher,0,205790000,1,15200000
tv (english),virgin river,0,163440000,1,0
tv (english),wednesday,0,1022190000,1,0
tv (english),workin moms,0,50120000,3,0
tv (non-english),business proposal,0,70320000,1,0
tv (non-english),carrossel,0,33560000,4,0
tv (non-english),little women,0,37950000,5,0
tv (non-english),nevertheless,0,23720000,8,0
tv (non-english),the marked heart,0,201850000,1,0
tv (non-english),the war nextdoor,0,38060000,3,0
tv (non-english),twenty five twenty one,0,42680000,5,0
tv (non-english),welcome to eden,0,116970000,1,0
films (english),a perfect pairing,0,80040000,1,0
films (english),falling for christmas,0,101190000,1,2700000
films (english),fear street part 1 1994,0,50540000,1,0
films (english),senior year,0,142920000,1,0
films (english),slumberland,0,96630000,1,0
films (english),the in between,0,76020000,1,0
films (english),the pale blue eye,0,95510000,1,0
films (english),venom,0,42230000,1,0
films (non-english),20th century girl,0,31450000,2,0
films (non-english),aka,0,98510000,1,0
films (non-english),all quiet on the western front,0,89060000,1,0
films (non-english),anonymously yours,0,23790000,1,0
films (non-english),beauty and the beast,0,6330000,7,0
films (non-english),beyond the universe,0,44160000,3,0
films (non-english),gangubai kathiawadi,0,34320000,1,0
films (non-english),hunger,0,68890000,1,0
films (non-english),my name is vendetta,0,63310000,2,0
films (non-english),the perfect family,0,40830000,2,0
films (non-english),through my window,0,81250000,1,0
films (non-english),unlocked,0,30480000,1,0
films (non-english),vicky and her mystery,0,27140000,1,0
tv (english),better call saul,0,42390000,6,0
tv (english),bridgerton,0,477040000,1,0
tv (english),ginny georgia,0,387560000,1,0
tv (english),heartstopper,0,53460000,5,11900000
tv (english),is it cake,0,90210000,2,6600000
tv (english),peaky blinders,0,123490000,2,0
tv (english),the good doctor,0,63010000,4,0
tv (english),the lincoln lawyer,0,218000000,1,31100000
tv (english),the ultimatum marry or move on,0,131190000,2,6700000
tv (english),the watcher,0,340760000,1,0
tv (english),warrior nun,0,74060000,5,0
tv (english),you,0,335170000,1,0
tv (non-english),all of us are dead,0,474260000,1,0
tv (non-english),crash course in romance,0,58110000,2,0
tv (non-english),daughter from another mother,0,50380000,4,0
tv (non-english),intimacy,0,62670000,1,0
tv (non-english),my liberation notes,0,37220000,3,0
tv (non-english),pedro el escamoso,0,27430000,7,0
tv (non-english),rebelde,0,72370000,2,0
tv (non-english),the chestnut man,0,82400000,2,0
tv (non-english),the cook of castamar,0,105180000,1,0
tv (non-english),the good bad mother,0,36750000,4,1200000
tv (non-english),under the queens umbrella,0,30630000,3,0
tv (non-english),who killed sara,0,92640000,1,0
films (english),365 days this day,0,116090000,1,0
films (english),fear street part 2 1978,0,41980000,2,0
films (english),the curse of bridge hollow,0,58630000,2,0
films (english),the man from toronto,0,140910000,1,0
films (english),the unforgivable,0,186900000,1,0
films (non-english),confessions of an invisible girl,0,16210000,3,0
films (non-english),laal singh chaddha,0,16200000,2,0
films (non-english),lost bullet,0,6250000,5,0
films (non-english),queens on the run,0,29530000,1,0
films (non-english),restless,0,52830000,1,0
films (non-english),shiny_flakes the teenage drug lord,0,9030000,7,0
films (non-english),sooryavanshi,0,19950000,5,0
tv (english),arcane,0,102250000,1,0
tv (english),clickbait,0,182240000,1,0
tv (english),cobra kai,0,241320000,1,0
tv (english),harry meghan,0,219000000,2,0
tv (english),pieces of her,0,189480000,1,0
tv (english),selling sunset,0,67840000,3,9900000
tv (english),stay close,0,176190000,1,0
tv (english),sweet magnolias,0,122790000,2,14700000
tv (english),the crown,0,75030000,3,0
tv (non-english),alba,0,111180000,1,0
tv (non-english),alchemy of souls,0,36870000,5,0
tv (non-english),elite,0,59060000,1,0
tv (non-english),good morning verônica,0,36680000,5,0
tv (non-english),hellbound,0,133380000,1,0
tv (non-english),high heat,0,125120000,2,0
tv (non-english),i am georgina,0,71290000,3,0
tv (non-english),lupin,0,43400000,4,54800000
tv (non-english),mr queen,0,73860000,3,0
tv (non-english),our blues,0,29510000,6,0
tv (non-english),the five juanas,0,136950000,2,0
tv (non-english),thirtynine,0,30100000,9,0
tv (non-english),who were we running from,0,68530000,1,0
tv (non-english),young lady and gentleman,0,48530000,4,0
films (english),back to the outback,0,79910000,2,0
films (english),bullet train,0,49470000,3,0
films (english),day shift,0,140360000,1,0
films (english),hotel transylvania 2,0,21550000,7,2800000
films (english),hotel transylvania 3 summer vacation,0,36260000,4,0
films (english),luckiest girl alive,0,119390000,1,0
films (english),me time,0,136450000,1,0
films (english),resort to love,0,61390000,1,0
films (english),sing,0,28030000,5,3600000
films (english),vivo,0,80950000,2,0
films (english),you people,0,141660000,1,0
films (english),your place or mine,0,127330000,1,0
films (non-english),all hail,0,41900000,1,0
films (non-english),carter,0,61150000,1,0
films (non-english),chernobyl 1986,0,21550000,3,0
films (non-english),how i fell in love with a gangster,0,26350000,1,0
films (non-english),loving adults,0,60010000,1,0
films (non-english),the whole truth,0,27130000,1,0
films (non-english),yara,0,35220000,1,0
tv (english),anatomy of a scandal,0,146010000,1,0
tv (english),cocomelon,0,33450000,8,1700000
tv (english),echoes,0,130700000,1,0
tv (english),from scratch,0,154700000,1,0
tv (english),hit run,0,89420000,2,0
tv (english),locke key,0,107730000,3,0
tv (english),manifest,0,89600000,3,0
tv (english),midnight mass,0,121340000,3,0
tv (english),narcos mexico,0,94010000,1,0
tv (english),sonic prime,0,67530000,5,4500000
tv (non-english),carinha de anjo,0,36930000,6,0
tv (non-english),dubai bling,0,43340000,2,1900000
tv (non-english),el rey vicente fernández,0,76920000,1,0
tv (non-english),extraordinary attorney woo,0,124600000,1,0
tv (non-english),forecasting love and weather,0,34060000,7,0
tv (non-english),juvenile justice,0,89280000,1,0
tv (non-english),malverde el santo patrón,0,36430000,3,0
tv (non-english),pablo escobar el patrón del mal,0,17900000,8,0
tv (non-english),queenmaker,0,86820000,1,0
tv (non-english),remarriage desires,0,60310000,3,0
tv (non-english),the glory,0,148000000,1,0
tv (non-english),the tailor,0,50900000,1,21800000
tv (non-english),yo soy betty la fea,0,22250000,9,0
films (english),chickenhare and the hamster of darkness,0,44530000,3,0
films (english),gemini man,0,35290000,3,12600000
films (english),glass onion a knives out mystery,0,253710000,1,0
films (english),murder mystery 2,0,141190000,1,0
films (english),roald dahls matilda the musical,0,66870000,2,2400000
films (english),shrek,0,26030000,4,0
films (english),sing 2,0,64930000,2,0
films (english),the christmas chronicles,0,24880000,8,6400000
films (non-english),blood red sky,0,101600000,1,0
films (non-english),dangerous liaisons,0,32000000,1,0
films (non-english),minnal murali,0,22510000,3,0
films (non-english),narvik,0,50450000,1,0
films (non-english),que viva méxico,0,47200000,1,0
films (non-english),stuck together,0,26780000,1,0
films (non-english),the chalk line,0,34680000,2,0
films (non-english),the forgotten battle,0,55670000,1,0
films (non-english),the takedown,0,70280000,1,1300000
films (non-english),toscana,0,34370000,1,0
films (non-english),yaksha ruthless operations,0,34000000,3,0
tv (english),fate the winx saga,0,130180000,2,0
tv (english),ozark,0,197830000,1,0
tv (english),shadow and bone,0,129500000,2,0
tv (english),stranger things,0,318490000,1,0
tv (english),the last kingdom,0,129670000,1,0
tv (english),the recruit,0,191250000,3,0
tv (english),the walking dead,0,44790000,9,0
tv (english),vikings valhalla,0,235700000,1,0
tv (non-english),alice in borderland,0,59390000,5,0
tv (non-english),café con aroma de mujer,0,205060000,1,0
tv (non-english),chiquititas,0,20780000,9,0
tv (non-english),my name,0,164890000,2,0
tv (non-english),reborn rich,0,39230000,4,0
tv (non-english),singles inferno,0,62200000,4,3600000
